district,name,abbreviated_name,address,chief,phone,fax,email,mo,inn,ogrn,note
Колпинский,Государственное бюджетное общеобразовательное учреждение основная общеобразовательная школа № 452 Колпинского района Санкт-Петербурга,ГБОУ школа № 452 Санкт-Петербурга,"196652, Санкт-Петербург, г. Колпино, Загородная ул., д. 41, литер. А",Дубина Надежда Ивановна,4172700,4172700,school452@spb.edu.ru,ВМО Колпино,7817027274,1027808757778 06.12.2002,
Колпинский,Государственное бюджетное общеобразовательное учреждение начальная общеобразовательная школа № 453 Колпинского района Санкт-Петербурга,ГБОУ НОШ № 453         Санкт-Петербурга,"Санкт-Петербург, посёлок Металлострой, Школьная улица, дом 8, литера А",Андреева Светлана Леонидовна,4646575,4646575,school453@gmail.com,ВМО Металлострой,7817041021,1027808757646 06.12.2002,
Колпинский,Государственное бюджетное общеобразовательное учреждение средняя общеобразовательная школа № 454 Колпинского района Санкт-Петербурга,ГБОУ школа № 454  Санкт-Петербурга,"196657, Санкт-Петербург, г. Колпино, Заводской пр., д. 50, литера А",Ларионова Татьяна Викторовна,4815542,4815542,school454@spb.edu.ru,ВМО Колпино,7817026665,1027808758647 10.12.2002,
Колпинский,Государственное бюджетное общеобразовательное учреждение средняя общеобразовательная школа № 455 с углублённым изучением английского языка Колпинского района Санкт-Петербурга,ГБОУ школа № 455  Санкт-Петербурга,"196655, Санкт-Петербург, г. Колпино, Тверская ул., д. 13, литер. А",Зимина Любовь Викторовна,4692774,4692774,school455_spb@mail.ru,ВМО Колпино,7817026680,1027808757877 06.12.2002,
Колпинский,Государственное бюджетное общеобразовательное учреждение средняя общеобразовательная школа № 456 Колпинского района Санкт-Петербурга,ГБОУ школа № 456 Санкт-Петербурга,"196655, Санкт-Петербург, г. Колпино, Октябрьская ул., д. 71, корпус 2, литер. А",Гришина Людмила Анатольевна,4175462,4175462,school456@spb.edu.ru,ВМО Колпино,7817026697,1027808758196 06.12.2002,
Колпинский,Государственное бюджетное общеобразовательное учреждение средняя общеобразовательная школа №  461 Колпинского района Санкт-Петербурга,ГБОУ школа № 461 Санкт-Петербурга,"196657, Санкт-Петербург, г. Колпино, ул. Машиностроителей, д. 7, литера А",Зырянова Татьяна Николаевна,4173033,4173033,school461@spb.edu.ru,ВМО Колпино,7817027002,1027808758669 10.12.2002,
Колпинский,Государственное бюджетное общеобразовательное учреждение  основная общеобразовательная школа № 465 Колпинского района Санкт-Петербурга,ГБОУ школа № 465 Санкт-Петербурга,"196642, Санкт-Петербург, п. Петро-Славянка, ул. Коммунаров, д. 2, литер Б",Домничева Ирина Владимировна,4621314,4621314,shkola465@mail.ru,ВМО Петро-Славянка,7817026619,1027808757239 05.12.2002,
Колпинский,Государственное бюджетное общеобразовательное учреждение средняя общеобразовательная школа № 467 Колпинского района Санкт-Петербурга,ГБОУ школа № 467 Санкт-Петербурга,"Санкт-Петербург, город Колпино, бульвар Трудящихся, дом 9, литера А",Шумеева Тамара Анатольевна,4173030,4173030,school467@spb.edu.ru,ВМО Колпино,7817027010,1027808757492 06.12.2002,
Колпинский,Государственное бюджетное общеобразовательное учреждение средняя общеобразовательная школа № 476 Колпинского района Санкт-Петербурга,ГБОУ школа № 476 Санкт-Петербурга,"196650, Санкт-Петербург, г. Колпино, ул. Танкистов, д. 26, литера А ",Щербинин Игорь Николаевич,4617019,4617019,school476@mail.ru,ВМО Колпино,7817027027,1027808758383 10.12.2002,
Колпинский,Государственное бюджетное общеобразовательное учреждение средняя общеобразовательная школа № 520 Колпинского района Санкт-Петербурга,ГБОУ школа № 520 Санкт-Петербурга,"Санкт-Петербург, посёлок Понтонный, Южная улица, дом 31, литера А",Зубко Ирина Геннадьевна,4626107,4626107,school520@spb.edu.ru,ВМО Понтоный,7817027041,1027808757833 06.12.2002,
Колпинский,Государственное бюджетное общеобразовательное учреждение средняя общеобразовательная школа № 523 Колпинского района Санкт-Петербурга,ГБОУ школа № 523 Санкт-Петербурга,"196650, Санкт-Петербург, г. Колпино, пр. Ленина, д. 31, литер. А",Авдиенко Валентина Ивановна,4173246,4173246,school523@spb.edu.ru,ВМО Колпино,7817027108,1027808757701 06.12.2002,
Колпинский,Государственное бюджетное общеобразовательное учреждение средняя общеобразовательная школа № 588 Колпинского района Санкт-Петербурга,ГБОУ школа № 588 Санкт-Петербурга,"196655, Санкт-Петербург, г. Колпино, Тверская ул., д. 54, корп. 2, литера А",Куприна Марина Александровна,4632430,4632430,school588@spb.edu.ru,ВМО Колпино,7817027281,1027808758262 06.12.2002,
Колпинский,Государственное бюджетное общеобразовательное учреждение средняя общеобразовательная школа № 589 Колпинского района Санкт-Петербурга,ГБОУ школа № 589 Санкт-Петербурга,"196655, Санкт-Петербург, г. Колпино, Тверская ул., д. 62, литер. А",Локтионова Федора Михайловна,4638612,4638612,school589@gmail.com,ВМО Колпино,7817026979,1027808758229 06.12.2002,
Колпинский,Государственное бюджетное общеобразовательное учреждение средняя общеобразовательная школа № 621 Колпинского района Санкт-Петербурга,ГБОУ школа № 621  Санкт-Петербурга,"Санкт-Петербург, посёлок Металлострой, Полевая улица, дом 10, литера А",Орлова Елена Алексеевна,5739637,5739637,sekret621@mail.ru,ВМО Металлострой,7817026961,1027808757844 06.12.2002,
Колпинский,Государственное бюджетное общеобразовательное учреждение центр образования № 170 Колпинского района Санкт-Петербурга,ГБОУ Ц О № 170,"196653, Санкт-Петербург, г. Колпино, пр. Ленина, д. 5, литера А",Рясько Марина Николаевна,4173235,4173235,school170@spb.edu.ru,ВМО Колпино,7817027080,1027808758130 06.12.2002,
Колпинский,"Государственное бюджетное учреждение дополнительного образования Центр психолого-педагогической, медицинской и социальной помощи Колпинского района Санкт-Петербурга",ГБУДО ЦППМС Колпинского района СПб,"196653, Санкт-Петербург, г. Колпино, ул. Веры Слуцкой, д. 32, корпус 2", Гюнинен Оксана Владимировна ,2412971,2412971,kolpino_center@mail.ru,ВМО Колпино,7817034200,1027808757910 06.12.2002,
Колпинский,Государственное бюджетное общеобразовательное учреждение школа-интернат № 10 Колпинского района Санкт-Петербурга,ГБОУ школа-интернат № 10 Колпинского района Санкт-Петербурга,"Санкт-Петербург, посёлок Понтонный, Южная улица, дом 29, литера А",,4175250,4175250,scint10t@list.ru,,7817033454,1027808757855 06.12.2002,
Колпинский,Государственное бюджетное учреждение дополнительного образования Центр детского (юношеского) технического творчества Колпинского района Санкт-Петербурга,ГБУ ЦДЮТТ Колпинского района   Санкт-Петербурга,"196655, Санкт-Петербург, г. Колпино, Тверская ул., д. 23",Овчаренко Тимур Геннадьевич,4696897,4827235,cdtt-kolp@spb.edu.ru,ВМО Колпино,7817324157,1117847435111 13.10.2011,
Колпинский,Государственное бюджетное образовательное учреждение дополнительного образования Дворец творчества детей и молодёжи Колпинского района Санкт-Петербурга,ГБУДОД ДТДиМ Колпинского района СПб,"196653, Санкт-Петербург, г. Колпино, Стахановская ул., д. 14, литер А",Самсонова Надежда Евгеньевна,4173422,4173422,dtdm@spb.edu.ru,ВМО Колпино,7817033937,1027808758691 10.12.2002,
Колпинский,Государственное бюджетное образовательное учреждение дополнительного педагогического профессионального образования центр повышения квалификации специалистов «Информационно-методический центр» Колпинского района Санкт-Петербурга,ИМЦ Колпинского района Санкт-Петербурга,"196653, Санкт-Петербург, г. Колпино, ул. Братьев Радченко, д. 12, лит. А, пом. Н-2",Лощагин Олег Владимирович,4607111,4607111,metod@spb.edu.ru,ВМО Колпино,7817027524,1027808761804 23.12.2002,
Кронштадтский,Государственное бюджетное общеобразовательное учреждение средняя общеобразовательная школа №418 Кронштадтского района Санкт-Петербурга,ГБОУ СОШ №418 Кронштадтского района Санкт-Петербурга,"Санкт-Петербург, город Кронштадт, улица Станюковича, дом 4, литера А",Воробьев Альберт Владимирович,+7 (812) 439 01 27,+7 (812) 439 01 27,school418@yandex.ru,г.Кронштадт,7818010883,1027808866580,
Кронштадтский,Государственное бюджетное общеобразовательное учреждение средняя общеобразовательная школа №422 Кронштадтского района Санкт-Петербурга,ГБОУ СОШ №422 Кронштадтского района Санкт-Петербурга,"Санкт-Петербург, город Кронштадт, проспект Ленина, дом 6, литера А",Богданова Ольга Николаевна,+7 (812) 417 57 13,+7 (812) 417 57 13,gou422@mail.ru,г.Кронштадт,7818010890,1027808867052,
Кронштадтский,Государственное бюджетное общеобразовательное учреждение средняя общеобразовательная школа №423 Кронштадтского района Санкт-Петербурга,ГБОУ школа №423 Кронштадтского района Санкт-Петербурга,"Санкт-Петербург, город Кронштадт, площадь Рошаля, дом 4/11, литера А",Рыкина Светлана Александровна,+7 (812) 417 61 60,+7 (812) 417 61 62,gou423@yandex.ru,г.Кронштадт,7818010900,1027808867041,
Кронштадтский,Государственное бюджетное общеобразовательное учреждение средняя общеобразовательная школа №425 имени академика П.Л.Капицы Кронштадтского района Санкт-Петербурга,ГБОУ школа №425 Кронштадтского района Санкт-Петербурга,"Санкт-Петербург, город Кронштадт, улица Андреевская, дом 7, литера А",Горлатова Елена Викторовна,+7 (812) 311 51 28,+7 (812) 311 51 28,direkt425@yandex.ru,г.Кронштадт,7818010925,1027808867350,среднее и старшее звено школы
Кронштадтский,Государственное бюджетное общеобразовательное учреждение средняя общеобразовательная школа №425 имени академика П.Л.Капицы Кронштадтского района Санкт-Петербурга,ГБОУ школа №425 Кронштадтского района Санкт-Петербурга,"Санкт-Петербург, город Кронштадт, улица Андреевская, дом 1/25, литера А",Горлатова Елена Викторовна,+7 (812) 311 51 28,+7 (812) 311 51 28,direkt425@yandex.ru,г.Кронштадт,7818010925,1027808867350,
Кронштадтский,Государственное бюджетное общеобразовательное учреждение средняя общеобразовательная школа №425 имени академика П.Л.Капицы Кронштадтского района Санкт-Петербурга,ГБОУ школа №425 Кронштадтского района Санкт-Петербурга,"Санкт-Петербург, город Кронштадт, Цитадельское шоссе, дом 2, литера А",Горлатова Елена Викторовна,+7 (812) 311 51 28,+7 (812) 311 51 28,direkt425@yandex.ru,г.Кронштадт,7818010925,1027808867350,начальная школа
Кронштадтский,Государственное бюджетное общеобразовательное учреждение средняя общеобразовательная школа №427 Кронштадтского района Санкт-Петербурга,ГБОУ СОШ №427 Кронштадтского района Санкт-Петербурга,"Санкт-Петербург, город Кронштадт, улица Лебедева, дом 5а, литера А",Емельянова Анна Михайловна,+7 (812) 417 57 30,+7 (812) 417 57 32,s427@yandex.ru,г.Кронштадт,7818010932,1027808867118,
Кронштадтский,Государственное бюджетное общеобразовательное учреждение начальная школа-детский сад №662 Кронштадтского района Санкт-Петербурга,ГБОУ начальная школа-детский сад №662 Кронштадтского района Санкт-Петербурга,"Санкт-Петербург, город Кронштадт, Манежный переулок, дом 1, литера А",Новицкая Любовь Ивановна,+7 (812) 435 08 96,+7 (812) 435 08 97,kron662@yandex.ru,г.Кронштадт,7818010812,1027808867283,детский сад
Кронштадтский,Государственное бюджетное общеобразовательное учреждение начальная школа-детский сад №662 Кронштадтского района Санкт-Петербурга,ГБОУ начальная школа-детский сад №662 Кронштадтского района Санкт-Петербурга,"Санкт-Петербург, город Кронштадт, Коммунистическая улица, дом 16, литера А",Новицкая Любовь Ивановна,+7 (812) 435 08 96,+7 (812) 435 08 97,kron662@yandex.ru,г.Кронштадт,7818010812,1027808867283,начальная школа
Кронштадтский,Государственное бюджетное общеобразовательное учреждение школа №676 Кронштадтского района Санкт-Петербурга,ГБОУ школа №676 Кронштадтского района Санкт-Петербурга,"Санкт-Петербург, город Кронштадт, улица Андреевская, дом 3, литера А",Васюсина Ольга Викторовна,+7 (812) 311 68 88,+7 (812) 311 68 88,school_676@mail.ru,г.Кронштадт,7818010971,1027808868614,
Кронштадтский,Государственное бюджетное общеобразовательное учреждение школа №676 Кронштадтского района Санкт-Петербурга,ГБОУ школа №676 Кронштадтского района Санкт-Петербурга,"Санкт-Петербург, город Кронштадт, улица Посадская,  дом 23, литера А, пом.1Н",Васюсина Ольга Викторовна,+7 (812) 311 68 88,+7 (812) 311 68 88,school_676@mail.ru,г.Кронштадт,7818010971,1027808868614,
Адмиралтейский ,Государственное бюджетное  общеобразовательное учреждение  школа-интернат № 2 Адмиралтейского района Санкт-Петербурга,ГБОУ школа-интернат № 2 Адмиралтейского района Санкт-Петербурга,"г.Санкт-Петербург, Старо-Петергофский проспект, дом 33, литера Б",Черных Марина Геннадьевна,+7(812)2520456,,schoolTnr2@mail.ru,Екатерингофский,826048672,1027810346739,-
Адмиралтейский ,Государственное бюджетное общеобразовательное учреждение школа № 5 Адмиралтейского района Санкт-Петербурга,ГБОУ № 5 Адмиралтейского района Санкт-Петербурга,"Санкт-Петербург, Батайский пер., д. 6-8, лит. А",Львовская Наталия Николаевна,+7(812)316 30 55,,sc5@adm-edu.spb.ru,Сенной округ,7826049281,1027810298988,-
Адмиралтейский ,Государственное бюджетное общеобразовательное учреждение центр образования №195 Адмиралтейского района Санкт-Петербурга,ГБОУ центр образования №195 Адмиралтейского района Санкт-Петербурга,"Санкт-Петербург, улица  Бородинская, дом 11, лит. А",Приставко Светлана Александровна,+7(812)713 32 50,,sc195@adm-edu.spb.ru,Семеновский,7826717860,1027810349841,-
Адмиралтейский ,Государственное бюджетное общеобразовательное учреждение средняя общеобразовательная школа № 225 Адмиралтейского района Санкт-Петербурга,ГБОУ СОШ № 225 Адмиралтейского района Санкт-Петербурга,"Санкт-Петербург, Адмиралтейская наб., д. 4, лит. А",Федосеенко Александр Сергеевич,+7(812)417 20 06,,sc225@adm-edu.spb.ru,Адмиралтейский округ,7826717877,1027810349368,-
Адмиралтейский ,Государственное бюджетное общеобразовательное учреждение средняя общеобразовательная школа № 229 Адмиралтейского района Санкт-Петербурга,ГБОУ средняя школа № 229 Адмиралтейского района Санкт-Петербурга,"Санкт-Петербург, пер.Бойцова, д. 3, лит А",Петрова Наталья Анатольевна,+7(812)417 32 42 ,,sc229@adm-edu.spb.ru,Сенной округ,7826717274,1027810356221,-
Адмиралтейский ,Государственное бюджетное  общеобразовательное учреждение школа  № 231 Адмиралтейского района Санкт-Петербурга,ГБОУ  школа № 231 Адмиралтейского района Санкт-Петербурга,"Санкт-Петербург, ул. Витебская, д. 7, лит.  А",Иванова Ольга Викторовна,+7(812)417 23 29,,sc231@adm-edu.spb.ru,Коломна,7826717651,1027810000000,-
Адмиралтейский , Государственное бюджетное общеобразовательное учреждение средняя общеобразовательная школа № 232 Адмиралтейского района Санкт-Петербурга,ГБОУ СОШ №232 Адмиралтейского района Санкт-Петербурга,"Санкт-Петербург, наб. Крюкова канала, д. 15, лит. А, пом. 1Н, 2Н, 3Н",Прокофьева Наталья Анатольевна,+7(812)417-34-88,,sc232@adm-edu.spb.ru,Коломна,7826717884,1027810291189,-
Адмиралтейский ,Государственное бюджетное общеобразовательное учреждение средняя общеобразовательная школа № 234 Адмиралтейского района Санкт-Петербурга,ГБОУ школа №234 Адмиралтейского района            Санкт-Петербурга,"Санкт-Петербург, Канонерская ул., д.33, лит. А",Седых Ирина Анатольевна,+7(812)714 27 52,,sc234@adm-edu.spb.ru,Коломна,7826717901,1027810334353,-
Адмиралтейский ,Государственное бюджетное общеобразовательное учреждение средняя общеобразовательная школа № 235 с углубленным изучением предметов художественно-эстетического цикла им. Д.Д. Шостаковича Адмиралтейского района Санкт-Петербурга,ГБОУ средняя школа № 235 им. Д.Д. Шостаковича ,"Санкт-Петербург, наб. реки Пряжки, д.4-6, лит. А",Стаховский Тимофей Владимирович,+7(812)572 58 46,,sc235@adm-edu.spb.ru,Коломна,7826717612,1037851004091,-
Адмиралтейский ,Государственное бюджетное общеобразовательное учреждение средняя общеобразовательная школа № 238 с углубленным изучением английского языка Адмиралтейского района Санкт-Петербурга,ГБОУ средняя школа № 238 с углубленным изучением английского языка Адмиралтейского района Санкт-Петербурга,"Санкт-Петербург, Галерная ул., 36-38, лит.А",Ермилова Тамара Юрьевна,+7(812)315 53 38,,238@school238.ru,Адмиралтейский округ,7826717620,1027810344100,-
Адмиралтейский ,Государственное бюджетное общеобразовательное учреждение средняя общеобразовательная школа № 241 Адмиралтейского района Санкт-Петербурга,ГБОУ СОШ № 241 Адмиралтейского района Санкт-Петербурга,"Санкт-Петербург, пр. Вознесенский , д. 38/4 лит.А",Макеева Ольга Владимировна,+7(812)417-61-01,,sc241@adm-edu.spb.ru,Сенной округ,7826718310,1027810295237,-
Адмиралтейский ,Государственное бюджетное общеобразовательное учреждение средняя общеобразовательная школа № 243 Адмиралтейского района Санкт-Петербурга,ГБОУ средняя школа № 243 Адмиралтейского района Санкт-Петербурга,"Санкт-Петербург, пер.Гривцова, д.18, лит. А",Куделин Андрей Георгиевич,+7(812)417 24 94,,sc243@adm-edu.spb.ru,Сенной округ,7826718447,1037851014233,-
Адмиралтейский ,Государственное бюджетное общеобразовательное учреждение средняя общеобразовательная школа № 245 имени Героя Советского Союза Ю.В. Пасторова Адмиралтейского района Санкт-Петербурга,ГБОУ СОШ № 245,"Санкт-Петербург, ул. Союза Печатников, д. 26, литер А",Матвеева Марина Никандровна,+7(812)417 36 23 ,,sc245@adm-edu.spb.ru,Коломна,7826729953,1027810299021,-
Адмиралтейский , Государственное бюджетное общеобразовательное учреждение средняя общеобразовательная школа № 255 с углубленным изучением предметов художественно-эстетического цикла  Адмиралтейского района Санкт-Петербурга,ГБОУ средняя школа №255 с углубленным изучением предметов художественно-эстетического цикла Адмиралтейского района Санкт-Петербурга.,"Санкт-Петербург, Фонарный переулок, д. 4, лит. А",Капитанова Екатерина Борисовна,+7(812)417 29 33,,mail@school255.ru,Адмиралтейский округ,7826718341,1027810345310,-
Адмиралтейский ,Государственное бюджетное общеобразовательное учреждение средняя общеобразовательная школа № 256 Адмиралтейского района Санкт-Петербурга,ГБОУ СОШ № 256 Адмиралтейского района Санкт-Петербурга,"Санкт-Петербург, наб. канала Грибоедова, д. 76, лит.П",Христюк Татьяна Михайловна,+7(812)573 98 74,,sc256@adm-edu.spb.ru,Сенной округ,7826720140,1027810346717,-
Адмиралтейский ,Государственное бюджетное общеобразовательное учреждение средняя общеобразовательная школа № 259  имени М.Т. Лорис – Меликова Адмиралтейского района Санкт-Петербурга,ГБОУ средняя школа №259 Адмиралтейского района Санкт-Петербурга,"Санкт-Петербург, наб. Крюкова канала, д.3, лит.А",Кочарян Астгик Телемаковна,+7(812)714 40 25,,sc259@adm-edu.spb.ru,Коломна,7826717644,1027810317590,-
Адмиралтейский ,Государственное бюджетное общеобразовательное учреждение средняя общеобразовательная школа № 260 Адмиралтейского района Санкт-Петербурга,ГБОУ средняя школа № 260 Адмиралтейского района Санкт-Петербурга,"190068, Санкт-Петербург, Лермонтовский проспект д.21, лит. А",Чирина Светлана Викторовна,+7(812)714 05 51,,sc260@adm-edu.spb.ru,Коломна,7826733237,1027810291541,-
Адмиралтейский ,Государственное бюджетное общеобразовательное учреждение средняя общеобразовательная школа № 263 с углубленным изучением английского языка Адмиралтейского района Санкт-Петербурга,ГБОУ школа № 263 с углубленным изучением английского языка Адмиралтейского района Санкт-Петербурга,"г.Санкт-Петербург, Старо-Петергофский проспект, дом 33, литера А",Рыдлевский Алексей Владимирович,+7(812)417-61-31,,sc263@adm-edu.spb.ru,Екатерингофское,7809023798,1027810346211,-
Адмиралтейский , Государственное бюджетное общеобразовательное учреждение средняя общеобразовательная школа № 266 с углубленным изучением французского языка Адмиралтейского района,ГБОУ средняя школа № 266,"Санкт-Петербург, 5-я Красноармейская ул., д.23, лит. А",Папуциди Элеорона Христофоровна,+7(812)417 36 30,,sc266@adm-edu.spb.ru,Измайловское,7826049588,10278103001606,-
Адмиралтейский , Государственное бюджетное общеобразовательное учреждение Гимназия № 272  Адмиралтейского района Санкт-Петербурга,ГБОУ Гимназия № 272 Адмиралтейского района                  Санкт-Петербурга,"Санкт-Петербург, ул. 8-я Красноармейская, д.3      литер А",Калмыкова Галина Андреевна,+7(812)251 16 49,,sc272@adm-edu.spb.ru,Измайловское,7826049404,1027810347773,-
Адмиралтейский , Государственное бюджетное общеобразовательное учреждение гимназия № 278 имени Б. Б. Голицына Адмиралтейского района Санкт-Петербурга,ГБОУ гимназия №278 имени Б.Б. Голицына Адмиралтейского района Санкт-Петербурга,"Санкт-Петербург, Дровяная, д.7, литер А",Шутова Валентина Михайловна,+7(812)251 43 34,,sc278@adm-edu.spb.ru,Екатерингофский,7826053030,1037851010977,-
Адмиралтейский ,Государственное бюджетное общеобразовательное учреждение средняя общеобразовательная школа № 280 имени М.Ю. Лермонтова Адмиралтейского района Санкт-Петербурга,ГБОУ СОШ № 280 им. М.Ю. Лермонтова,"Санкт-Петербург, Лермонтовский пр., д. 52, лит. А",Севастьянова Юлия Борисовна,+7(812)251 14 15,,sc280@adm-edu.spb.ru,Измайловское,7826049115,1037851014167,-
Адмиралтейский ,Государственное бюджетное общеобразовательное учреждение Лицей № 281 Адмиралтейского района Санкт-Петербурга,ГБОУ Лицей № 281 Адмиралтейского района СПб,"Санкт-Петербург, Советский пер., д. 4/15, лит. А",Чернигова Елена Вениаминовна,+7(812)316 17 01,,sc281@adm-edu.spb.ru,Измайловское,7826053619,1027810332593,-
Адмиралтейский ,Государственное бюджетное общеобразовательное учреждение средняя общеобразовательная школа № 287 Адмиралтейского района Санкт-Петербурга,ГБОУ средняя школа № 287 Адмиралтейского района Санкт-Петербурга,"Санкт-Петербург, ул. Бумажная, д. 5, лит. А",Котисова Светлана Викторовна,+7(812)786 34 98,,sc287@adm-edu.spb.ru,Екатерингофский,7826051812,1027810340447,-
Адмиралтейский ,Государственное бюджетное общеобразовательное учреждение средняя общеобразовательная школа № 288 Адмиралтейского района Санкт-Петербурга,ГБОУ средняя школа № 288 Адмиралтейского района Санкт-Петербурга,"Санкт-Петербург,  Курляндская улица, д.43, лит.А",Чувахина Светлана Александровна,+7(812)575 49 05,,sc288@adm-edu.spb.ru, Екатерингофский,7826051805,1027810345309,-
Адмиралтейский ,Государственное бюджетное общеобразовательное учреждение средняя общеобразовательная школа № 306 с углубленным изучением английского языка Адмиралтейского района Санкт-Петербурга,ГБОУ СОШ № 306 с углубленным изучением английского языка Адмиралтейского района Санкт-Петербурга,"Санкт-Петербург, Верейская улица, д. 20, лит. А",Мушкудиани Ирина Геннадьевна,+7(812)316 16 66,,sc306@adm-edu.spb.ru,Семеновский,7809025509,1027810332307,-
Адмиралтейский ,Государственное бюджетное общеобразовательное учреждение средняя общеобразовательная школа № 307 Адмиралтейского района Санкт-Петербурга,ГБОУ СОШ № 307 Адмиралтейского района Санкт-Петербурга,"Санкт-Петербург, Малодетскосельский проспект, д. 23, лит. А",Матвеева Татьяна Вячеславовна,+7(812)316 69 92,,sc307@adm-edu.spb.ru,Семеновский,7826056088,1027810301243,-
Адмиралтейский ,Государственное бюджетное общеобразовательное учреждение средняя общеобразовательная школа № 317 Адмиралтейского района Санкт-Петербурга,ГБОУ СОШ № 317 Адмиралтейского района Санкт- Петербурга,"Санкт-Петербург, ул. Серпуховская, д. 39, лит. А",Новикова Марина Владимировна,+7(812)316-16-92,,sc317@adm-edu.spb.ru,Семеновский,7826056183,1027810305533,-
Адмиралтейский ,Государственное бюджетное  общеобразовательное учреждение школа № 522 Адмиралтейского района Санкт-Петербурга,ГБОУ школа № 522 Адмиралтейского района Санкт-Петербурга,"Санкт-Петербург, Малодетскосельский пр., д. 17-19, лит. А",Елизарова Юлия Геннадьевна,+7(812)573 96 46,,sc522@adm-edu.spb.ru,Семеновский,7826049732,1027810287999,-
Адмиралтейский ,Государственное бюджетное общеобразовательное учреждение средняя общеобразовательная школа № 564 Адмиралтейского района Санкт-Петербурга,ГБОУ СОШ № 564 Адмиралтейского района г. Санкт-Петербурга,"Санкт-Петербург, Наб. Обводного канала, д. 143, лит. А",Корсакова Нина Леоновна,+7(812)710 14 75,,mail@school564.ru,Измайловское,7826048665,1027810242910,-
