"ОГРН","Полное наименование ОУ по Уставу","Краткое наименование","Адрес ОУ","Должность руководителя","ФИО руководителя","Тип ОУ","Вид ОУ","Телефон","Подведомственность","Район","Адрес сайта","email","Количество групп"
"1027812404971","Государственное бюджетное общеобразовательное учреждение лицей № 445 Курортного района Санкт-Петербурга","ГБОУ лицей №445","Санкт-Петербург г, Зеленогорск г, Ленина пр-кт, 2, А, 197720","Исполняющий обязанности директора","Архипова Маргарита Валерьевна","Общеобразовательные учреждения","Лицей","8-812-417-21-90","Курортный","Курортный","","school445@mail.ru","0"
"1027804895161","Государственное бюджетное общеобразовательное учреждение лицей № 366 Московского района Санкт-Петербурга ""Физико-математический лицей""","ГБОУ лицей №366","Санкт-Петербург г, Фрунзе ул, 12, А, 196135","Директор","Цветкова Татьяна Кузьминична","Общеобразовательные учреждения","Лицей","8-812-388-26-52","Московский","Московский","","school366@spb.edu.ru","0"
"1027806066056","Государственное бюджетное общеобразовательное учреждение лицей №329 Невского района Санкт-Петербурга","ГБОУ лицей №329","Санкт-Петербург г, Елизарова пр-кт, 7, Б, 192029","Директор","Беляева Ольга Александровна","Общеобразовательные учреждения","Лицей","8-812-417-27-18","Невский","Невский","","school329@spb.edu.ru","4"
"1027806066090","Государственное бюджетное общеобразовательное учреждение лицей №344 Невского района Санкт-Петербурга","ГБОУ лицей №344","Санкт-Петербург г, Тельмана ул, 47, 193315","Директор","Шелюховская Майя Николаевна","Общеобразовательные учреждения","Лицей","8-812-417-21-67","Невский","Невский","","school344@inbox.ru","0"
"1037825006394","Государственное бюджетное общеобразовательное учреждение лицей № 572 Невского района Санкт-Петербурга","ГБОУ лицей №572","Санкт-Петербург г, Латышских Стрелков ул, 9, А, 1, 193231","Директор","Петроченко Светлана Борисовна","Общеобразовательные учреждения","Лицей","8-812-583-26-33","Невский","Невский","","school572@mail.ru","5"
"1027808913142","Государственное бюджетное общеобразовательное учреждение лицей № 419 Петродворцового района Санкт-Петербурга","ГБОУ лицей №419","Санкт-Петербург г, Петергоф г, Ботаническая ул, 8, А, 198504","Директор","Ставицкая Светлана Владимировна","Общеобразовательные учреждения","Лицей","8-812-428-74-52","Петродворцовый","Петродворцовый","","lc419@419spb.ru","0"
"1037832010281","Государственное бюджетное общеобразовательное учреждение Лицей № 40 Приморского района Санкт-Петербурга","ГБОУ Лицей №40","Санкт-Петербург г, Комендантский пр-кт, 22, 3, литер А, 197372","Директор","Милюкова Наталия Геннадьевна","Общеобразовательные учреждения","Лицей","8-812-246-07-31","Приморский","Приморский","","school40@spb.edu.ru","0"
"1027807593758","Государственное бюджетное общеобразовательное учреждение Лицей № 554 Приморского района Санкт-Петербурга","ГБОУ Лицей №554","Санкт-Петербург г, Комендантский пр-кт, 21, А, 3, 197371","Директор","Безбородая Ирина Николаевна","Общеобразовательные учреждения","Лицей","8-812-417-62-10","Приморский","Приморский","","school554@spb.edu.ru","0"
"1027807577467","Государственное бюджетное общеобразовательное учреждение Лицей № 597 Приморского района Санкт -Петербурга","ГБОУ Лицей №597","Санкт-Петербург г, 3-я линия 1-й половины ул, 10, А, а, 197341","Директор","Демидова Светлана Петровна","Общеобразовательные учреждения","Лицей","8-812-246-07-02","Приморский","Приморский","http://lyc597.petersburgedu.ru/","school597@spb.edu.ru","0"
"1027807581460","Государственное бюджетное общеобразовательное учреждение лицей № 64 Приморского района Санкт-Петербурга","ГБОУ лицей №64","Санкт-Петербург г, Богатырский пр-кт, 61, А, 2, 197082","Директор","Прокофьева Татьяна Михайловна","Общеобразовательные учреждения","Лицей","8-812-246-03-64","Приморский","Приморский","","School64@spb.edu.ru","0"
"1027809003507","Государственное бюджетное общеобразовательное учреждение лицей № 410 Пушкинского района Санкт-Петербурга","ГБОУ лицей №410","Санкт-Петербург г, Пушкин г, Кедринская ул, 10, A, 196602","Директор","Ткачева Ольга Ильинична","Общеобразовательные учреждения","Лицей","8-812-451-58-26","Пушкинский","Пушкинский","","school410@narod.ru","0"
"1027809007940","Государственное бюджетное общеобразовательное учреждение лицей № 408 Пушкинского района Санкт-Петербурга","ГБОУ лицей №408","Санкт-Петербург г, Пушкин г, Железнодорожная ул, 54, А, 196608","Директор","Кураченкова Изабелла Ханоновна","Общеобразовательные учреждения","Лицей","8-812-470-15-11","Пушкинский","Пушкинский","","bd408@mail.ru","0"
"1037835027230","Государственное бюджетное общеобразовательное учреждение лицей №226 Фрунзенского района Санкт-Петербурга","ГБОУ лицей №226","Санкт-Петербург г, Бухарестская ул, 33, А, 6, 192071","Директор","Семенова Татьяна Викторовна","Общеобразовательные учреждения","Лицей","8-812-774-53-56","Фрунзенский","Фрунзенский","","admin@school226.spb.ru","0"
"1027809245860","Государственное бюджетное общеобразовательное учреждение Лицей № 211 имени Пьера де Кубертена Центрального района Санкт-Петербурга","ГБОУ Лицей №211","Санкт-Петербург г, Гороховая ул, 20, 191186","Директор","Бабаева Людмила Александровна","Общеобразовательные учреждения","Лицей","8-812-315-98-96","Центральный","Центральный","","sch211@center-edu.spb.ru","0"
"1037843047450","Государственное бюджетное общеобразовательное учреждение лицей №214 Центрального района Санкт-Петербурга","ГБОУ лицей №214","Санкт-Петербург г, Маяковского ул, 8, А, 191014","Директор","Витте Ирина Яковлевна","Общеобразовательные учреждения","Лицей","8-812-417-55-64","Центральный","Центральный","www.214spb.edusite.ru","sch214@center-edu.spb.ru","0"
"1027800551130","Государственное бюджетное общеобразовательное учреждение ""Санкт-Петербургский губернаторский физико-математический лицей №30""","ГБОУ лицей №30","Санкт-Петербург г, Шевченко ул, 23, А, 2, 199406","Директор","Третьяков Алексей Андреевич","Общеобразовательные учреждения","Лицей","8-812-355-88-57","Комитет по образованию Санкт-Петербурга","Комитет по образованию Санкт-Петербурга","","fml3000@mail.ru","0"
 1027809227059
"1027809227060","Государственное бюджетное нетиповое образовательное учреждение «Санкт-Петербургский городской Дворец творчества юных»","ГБНОУ Аничков лицей","Санкт-Петербург г, Невский пр-кт, 39, А, 191023","Директор","Катунова Мария Ренгольдовна","Общеобразовательные учреждения","Лицей","8-812-314-72-81","Комитет по образованию Санкт-Петербурга","Комитет по образованию Санкт-Петербурга","","anichkov_licey@mail.ru","0"
"1027809191442","Государственное бюджетное общеобразовательное учреждение ""Президентский физико-математический лицей №239""","ГБОУ ""Президентский ФМЛ №239""","Санкт-Петербург г, Кирочная ул, 8, 191028","Директор","Пратусевич Максим Яковлевич","Общеобразовательные учреждения","Лицей","7-812-272-96-68","Комитет по образованию Санкт-Петербурга","Комитет по образованию Санкт-Петербурга","","sch239@center-edu.spb.ru","0"
"1037828005709","Государственное бюджетное общеобразовательное учреждение лицей №82 Петроградского района Санкт-Петербурга","ГБОУ лицей №82","Санкт-Петербург г, Мира ул, 26, А, 197101","Директор","Згибай Татьяна Николаевна","Общеобразовательные учреждения","Лицей","8-812-232-72-31","Петроградский","Петроградский","","litcey-82@mail.ru","4"
"1027804894281","Государственное бюджетное общеобразовательное учреждение лицей № 373 Московского района Санкт-Петербурга ""Экономический лицей""","ГБОУ лицей №373","Санкт-Петербург г, Московский пр-кт, 112, 196084","Директор","Афанасьева Ирина Викторовна","Общеобразовательные учреждения","Лицей","8-812-388-98-29","Московский","Московский","","school373@spb.edu.ru","6"
"1027808003332","Государственное бюджетное общеобразовательное учреждение лицей №299 Фрунзенского района Санкт-Петербурга","ГБОУ лицей №299","Санкт-Петербург г, Славы пр-кт, 6, 2, литер А, 192212","Директор","Шпакова Марина Владимировна","Общеобразовательные учреждения","Лицей","8-812-360-74-04","Фрунзенский","Фрунзенский","","rus135@yandex.ru","6"
