Номер ОУ,Полное наименование ОУ по Уставу,Краткое наименование,Адрес электронной почты,Адрес ОУ,Должность руководителя,ФИО руководителя,Тип ОУ,Вид ОУ,Телефон,Район,Подведомственность,"""Статус сервиса """"Электронный дневник""""""",ОГРН,Адрес электронной почты из Параграф.Регион,Адрес сайта в сети Интернет,Название,Адрес сайта,Город,Улица,Дом,Литерал,Корпус,Индекс,Сайт инициализирован,Сайт ОО,Код здания ФИАС,Тип местности,Часы работы,Юридический адрес через код здания ФИАС,Организационно-правовая форма,Статус,Тип группы ОВЗ,Тип питания,Официальный сайт,Старый ОГРН,ОКТМО
621,Государственное бюджетное общеобразовательное учреждение средняя общеобразовательная школа № 621 Колпинского района Санкт-Петербурга,ГБОУ СОШ №621,sekret621@mail.ru,"Санкт-Петербург г, Полевая ул, 10. лит. А, 196641",Директор,Орлова Елена Алексеевна,Общеобразовательные учреждения,Средняя общеобразовательная школа,8-812-464-37-51,Колпинский,Колпинский,"",1027808757844,school621@spb.edu.ru,http://www.621.metallostroy.ru/,ГОУ СОШ №621,http://www.621.metallostroy.ru/,Санкт-Петербург г,Полевая ул,10. лит. А,"","",196641,"","","","","","","","","","","","",""
54,Государственное бюджетное общеобразовательное учреждение школа № 54 Красносельского района Санкт-Петербурга,ГБОУ СОШ №54,school54spb@mail.ru,"Санкт-Петербург г, Маршала Казакова ул, 60, 2, 198332",Директор,Никитина Ольга Петровна,Общеобразовательные учреждения,Средняя общеобразовательная школа,7-812-617-48-28,Красносельский,Красносельский,"",1157847167840,"",http://shkola54.ru,"",shkola54.ru,Санкт-Петербург г,Маршала Казакова ул,60,"",2,198332,Да,ГБОУ СОШ №54,00000000-0000-0000-0000-000000000000,Городская,"","","","","","","","",""
577,Санкт-Петербургское государственное автономное общеобразовательное учреждение средняя общеобразовательная школа №577 с углубленным изучением английского языка Красногвардейского района Санкт-Петербурга,ГАОУ СОШ №577,spbgaou@gmail.com,"Санкт-Петербург г, Хасанская ул, 4, 2, 195426",Директор,Крошка Ольга Сергеевна,Общеобразовательные учреждения,Средняя общеобразовательная школа с углубленным изучением предмета,8-812-524-43-91,Красногвардейский,Красногвардейский,"",1027804187916,sc577@rambler.ru,http://school577.ru,ГОУ СОШ №577,http://school577.ru,Санкт-Петербург г,Хасанская ул,4,"",2,195426,Нет,ГАОУ СОШ №577,00000000-0000-0000-0000-000000000000,Городская,7.00-19.00,"","",Функционирует,Нет групп ОВЗ,"","","",""
206,Государственное бюджетное общеобразовательное учреждение средняя общеобразовательная школа №206 Центрального района Санкт-Петербурга,ГБОУ СОШ №206,sch206@сenter-edu.spb.ru,"Санкт-Петербург г, Реки Фонтанки наб, 62, А, 191002",Директор,Канашенок Мария Михайловна,Общеобразовательные учреждения,Средняя общеобразовательная школа,8-812-712-05-65,Центральный,Центральный,"",1037843021446,sch206@сenter-edu.spb.ru,http://school206.ru,ГОУ СОШ №206,school206.ru,Санкт-Петербург г,Реки Фонтанки наб,62,"","",191002,Нет,ГБОУ СОШ №206,00000000-0000-0000-0000-000000000000,Городская,8.00-20.00,"",Государственная,Функционирует,Нет групп ОВЗ,организация,"","",""
79,Государственное бюджетное общеобразовательное учреждение средняя общеобразовательная школа №79 Калининского района Санкт-Петербурга,ГБОУ СОШ №79,school79@mail.ru,"Санкт-Петербург г, Брянцева ул, 10, 195269",Директор,Акимова Татьяна Николаевна,Общеобразовательные учреждения,Средняя общеобразовательная школа,8-812-417-63-11,Калининский,Калининский,"",1027802496590,school79@petersburgedu.ru,http://www.school79spb.ru,"",www.school79spb.ru,Санкт-Петербург г,Брянцева ул,10,"","",195269,Да,ГБОУ СОШ №79,00000000-0000-0000-0000-000000000000,"","","","","","","","","",""
173,Государственное бюджетное общеобразовательное учреждение Центр образования № 173 Петроградского района Санкт-Петербурга,ГБОУ ЦО №173,co173@mail.ru,"Санкт-Петербург г, Новоладожская ул, 8, А, 197110",Директор,Поварова Елена Андреевна,Общеобразовательные учреждения,Центр образования,8-812-235-64-52,Петроградский,Петроградский,"",5067847274754,co173@mail.ru,http://co173.ru/,ГОУ ЦО №173,http://co173.ru/,Санкт-Петербург г,Новоладожская ул,8,"","",197110,Да,ГБОУ ЦО №173,"","","","","","","","","","",""
595,Государственное бюджетное общеобразовательное учреждение средняя общеобразовательная школа № 595 Приморского района Санкт-Петербурга,ГБОУ СОШ №595,info@school595.ru,"Санкт-Петербург г, Королева пр-кт, 47, А, 2, 197371",Директор,Мохов Роман Игоревич,Общеобразовательные учреждения,Средняя общеобразовательная школа,8-812-306-99-89,Приморский,Приморский,"",1027807582461,school595@spb.edu.ru,http://www.school595.ru,ГОУ СОШ №595,http://www.school595.ru,Санкт-Петербург г,Королева пр-кт,47,"",2,197371,Да,ГБОУ СОШ №595,"","","","","","","","","","",""
421,Государственное бюджетное общеобразовательное учреждение средняя общеобразовательная школа №421 Петродворцового района Санкт-Петербурга,ГБОУ СОШ №421,school421@bk.ru,"Санкт-Петербург г, Санкт-Петербургское ш, 102, А, 198515",Директор,Большакова Юлия Александровна,Общеобразовательные учреждения,Средняя общеобразовательная школа,8-812-421-40-03,Петродворцовый,Петродворцовый,"",1027808913175,school421.spb.edu.ru,http://www.school421.edusite.ru,ГОУ СОШ № 421,www.school421.edusite.ru,Санкт-Петербург г,Санкт-Петербургское ш,102,"","",198515,"","",00000000-0000-0000-0000-000000000000,Городская,"","","","","","","","",""
250,Государственное бюджетное общеобразовательное учреждение средняя общеобразовательная школа № 250 Кировского района Санкт-Петербурга,ГБОУ СОШ №250,sc250@kirov.spb.ru,"Санкт-Петербург г, Козлова ул, 37, А, 1, 198260",Директор,Фадеева Юлия Викторовна,Общеобразовательные учреждения,Средняя общеобразовательная школа,8-812-750-40-92,Кировский,Кировский,"",1027802740635,sc250@kirov.spb.ru,http://school250.ru,ГОУ СОШ №250,http://school250.ru,Санкт-Петербург г,Козлова ул,37,"",1,198260,"","","","","","","","","","","","",""
602,Государственное бюджетное общеобразовательное учреждение средняя общеобразовательная школа № 602 Петродворцового района Санкт-Петербурга,ГБОУ CОШ №602,dir602@yandex.ru,"Санкт-Петербург г, Ломоносов г, Сафронова ул, 5, А, 198412",Директор,Шарга Лариса Николаевна,Общеобразовательные учреждения,Средняя общеобразовательная школа,8-812-242-37-34,Петродворцовый,Петродворцовый,"",1027808918752,mail@SCHOOL602.SPB.RU,http://www.school602.spb.ru,ГОУ СОШ № 602,www.school602.spb.ru,"Санкт-Петербург г, Ломоносов г",Сафронова ул,5,"","",198412,"","","","","","","","","","","","",""
55,Государственное бюджетное общеобразовательное учреждение средняя общеобразовательная школа № 55 Петроградского района Санкт-Петербурга,ГБОУ СОШ №55,school55piter@yandex.ru,"Санкт-Петербург г, Левашовский пр-кт, 5, А, 197136",Директор,Данько Наталья Сергеевна,Общеобразовательные учреждения,Средняя общеобразовательная школа,8-812-235-11-31,Петроградский,Петроградский,"",1027806891419,shool55piter@yandex.ru,http://sch055.petersburgedu.ru,ГОУ СОШ №55 дошкольное отделение,sch055.petersburgedu.ru,Санкт-Петербург г,Левашовский пр-кт,5,"","",197136,Нет,ГБОУ СОШ №55,11111111-1111-1111-1111-111111111111,Городская,07.00-19.00,"",Государственная,Функционирует,Нет групп ОВЗ,организация,"","",""
162,Государственное бюджетное общеобразовательное учреждение центр образования № 162 Кировского района Санкт-Петербурга,ГБОУ ЦО №162,sc162@kirov.spb.ru,"Санкт-Петербург г, Турбинная ул, 50, 198097",Исполняющий обязанности директора,Рожкова Мария Андреевна,Общеобразовательные учреждения,Центр образования,8-812-786-26-12,Кировский,Кировский,"",1027802739447,sc162@kirov.spb.ru,http://www.sc162.kirov.spb.ru,ГОУ ЦО №162,http://www.sc162.kirov.spb.ru,Санкт-Петербург г,Турбинная ул,50,"","",198097,Да,ГБОУ ЦО №162,00000000-0000-0000-0000-000000000000,"","","","",Функционирует,"","","","",""
65,Государственное бюджетное общеобразовательное учреждение средняя общеобразовательная школа №65 с углублённым изучением французского языка Выборгского района Санкт-Петербурга,ГБОУ СОШ №065,065@shko.la,"Санкт-Петербург г, Учебный пер, 8, А, 2, 194354",Директор,Ермолаева Наталия Яковлевна,Общеобразовательные учреждения,Средняя общеобразовательная школа с углубленным изучением предмета,8-812-417-64-66,Выборгский,Выборгский,"",1027801583369,schoolfr_65@mail.ru,http://www.school65.spb.ru,ГОУ СОШ №065,www.school65.spb.ru,Санкт-Петербург г,Учебный пер,8,"",2,194354,Да,ГБОУ СОШ №065,"","","","","","","","","","",""
610,"Государственное бюджетное общеобразовательное учреждение Гимназия № 610 Петроградского района Санкт-Петербурга ""САНКТ-ПЕТЕРБУРГСКАЯ КЛАССИЧЕСКАЯ ГИМНАЗИЯ""",ГБОУ Гимназия №610,secretar610@mail.ru,"Санкт-Петербург г, Малый ПС пр-кт, 9/6, А, 197198",Директор,Бурячко Сергей Владимирович,Общеобразовательные учреждения,Гимназия,8-812-235-40-14,Петроградский,Петроградский,"",1037828004390,svbur@610.ru,http://610.ru/,ГОУ Гимназия №610,http://610.ru/,Санкт-Петербург г,Малый ПС пр-кт,9/6,"","",197198,"","","","","","","","","","","","",""
376,Государственное бюджетное общеобразовательное учреждение средняя общеобразовательная школа № 376 Московского района Санкт-Петербурга,ГБОУ СОШ №376,school376.spb@yandex.ru,"Санкт-Петербург г, 5-й Предпортовый проезд, 8, А, 2, 196240",Директор,Дмитриенко Мария Александровна,Общеобразовательные учреждения,Средняя общеобразовательная школа,8-812-620-92-22,Московский,Московский,"",1137847313009,"",http://376.spb.ru,"",376.spb.ru,Санкт-Петербург г,5-й Предпортовый проезд,8,"",2,196240,Нет,ГБОУ СОШ №376,00000000-0000-0000-0000-000000000000,Городская,7:00-19:00,"",Государственная,Функционирует,"","","","",""
156,Государственное бюджетное общеобразовательное учреждение средняя общеобразовательная школа № 156 с углубленным изучением информатики Калининского района Санкт-Петербурга,ГБОУ СОШ №156,school156.spb@yandex.ru,"Санкт-Петербург г, Меншиковский пр-кт, 15, А, 3, 195273",Директор,Белик Александра Евгеньевна,Общеобразовательные учреждения,Средняя общеобразовательная школа с углубленным изучением предмета,8-812-299-14-57,Калининский,Калининский,"",1027802499339,school156@spb.edu.ru,http://www.school156.ru,ГОУ СОШ №156,www.school156.ru,Санкт-Петербург г,Меншиковский пр-кт,15,"",3,195273,"","","","","","","","","","","","",""
153,Государственное бюджетное общеобразовательное учреждение школа №153 Фрунзенского района Санкт-Петербурга,ГБОУ СОШ №153,school153@edu-frn.spb.ru,"Санкт-Петербург г, Лиговский пр-кт, 156, А, 192007",Директор,Русакова Светлана Дмитриевна,Общеобразовательные учреждения,Средняя общеобразовательная школа,7-812-766-55-01,Фрунзенский,Фрунзенский,"",1027807992761,escuela153@yandex.ru,http://school153.spb.ru,ГОУ ВСОШ №153,school153.spb.ru,Санкт-Петербург г,Лиговский пр-кт,156,"","",192007,"","",00000000-0000-0000-0000-000000000000,Городская,"","","",Капитальный ремонт,"","","","",""
2,Государственное бюджетное общеобразовательное учреждение школа-интернат № 2 Адмиралтейского района Санкт-Петербурга,ГБС(К) ОУ инт №2,schoolTnr2@mail.ru,"Санкт-Петербург г, Старо-Петергофский пр-кт, 33, Б, 190020",Директор,Черных Марина Геннадьевна,"Специальные (коррекционные) образовательные учреждения для обучающихся, воспитанников с отклонениями в развитии",Специальная (коррекционная) общеобразовательная школа-интернат,8-812-252-04-56,Адмиралтейский,Адмиралтейский,"",1027810346739,schoolTnr2@mail.ru,http://school-int2.ru/,ГОУ СК №2 инт,http://school-int2.ru/,Санкт-Петербург г,Старо-Петергофский пр-кт,33,"","",190020,"","","","","","","","","","","","",""
444,Государственное бюджетное общеобразовательное учреждение средняя общеобразовательная школа №444 Фрунзенского района Санкт-Петербурга,ГБОУ СОШ №444,school444@edu-frn.spb.ru,"Санкт-Петербург г, Купчинская ул, 15, А, 3, 192281",Директор,Андреев Андрей Геннадьевич,Общеобразовательные учреждения,Средняя общеобразовательная школа,8-812-772-71-04,Фрунзенский,Фрунзенский,"",1027807991452,sc444@yandex.ru,http://school444.ru,ГОУ СОШ №444,school444.ru,Санкт-Петербург г,Купчинская ул,15,"",3,192281,"","","","","","","","","","","","",""
397,Государственное бюджетное общеобразовательное учреждение гимназия № 397 Кировского района Санкт-Петербурга имени Г.В. Старовойтовой,ГБОУ гимназия №397,sc397@kirov.spb.ru,"Санкт-Петербург г, Маршала Говорова ул, 9, А, 198188",Директор,Апанасенко Юлия Валерьевна,Общеобразовательные учреждения,Гимназия,8-812-417-52-16,Кировский,Кировский,"",1027802760644,sc397@kirov.spb.ru,http://www.kirov.spb.ru/sc/397,ГОУ гимназия №397,http://www.kirov.spb.ru/sc/397,Санкт-Петербург г,Маршала Говорова ул,9,"","",198188,"","","","","","","","","","","","",""
409,Государственное бюджетное общеобразовательное учреждение средняя общеобразовательная школа № 409 Пушкинского района Санкт-Петербурга,ГБОУ СОШ №409,school409.spb@yandex.ru,"Санкт-Петербург г, Пушкин г, Красносельское ш, 9, А, 196603",Директор,Митрофанова Ольга Валерьевна,Общеобразовательные учреждения,Средняя общеобразовательная школа,8-812-465-26-65,Пушкинский,Пушкинский,"",1027809003584,sclool409@spb.edu.ru,http://school409.ucoz.ru/,ГОУ СОШ №409,http://school409.ucoz.ru/,"Санкт-Петербург г, Пушкин г",Красносельское ш,9,"","",196603,"","","","","","","","","","","","",""
72,Государственное бюджетное общеобразовательное учреждение средняя общеобразовательная школа №72 с углублённым изучением немецкого языка Калининского района Санкт-Петербурга,ГБОУ СОШ №72,ouschool72@rambler.ru,"Санкт-Петербург г, Ушинского ул, 21, А, 195267",Директор,Стрешинская Инна Васильевна,Общеобразовательные учреждения,Средняя общеобразовательная школа с углубленным изучением предмета,8-812-531-74-03,Калининский,Калининский,"",1027802497260,ouschool72@rambler.ru,"",ГОУ СОШ №72,"schule72spb.ru, http://sch072.petersburgedu.ru/",Санкт-Петербург г,Ушинского ул,21,"","",195267,Да,ГБОУ СОШ №72,"","","","","","","","","","",""
631,Государственное бюджетное общеобразовательное учреждение гимназия № 631 Приморского района Санкт-Петербурга,ГБОУ гимназия №631,gymn631@mail.ru,"Санкт-Петербург г, Школьная ул, 13, А, 197183",Директор,Топунова Марина Клайдовна,Общеобразовательные учреждения,Гимназия,8-812-430-85-30,Приморский,Приморский,"",1027807591965,school631@spb.edu.ru,http://www.school631.spb.ru,ГОУ гимназия №631,http://www.school631.spb.ru,Санкт-Петербург г,Школьная ул,13,"","",197183,"","","","","","","","","","","","",""
2,Государственное бюджетное общеобразовательное учреждение школа-интернат № 2 Кировского района Санкт-Петербурга,ГБОУ школа-интернат №2,int002@kirov.spb.ru,"Санкт-Петербург г, Трамвайный пр-кт, 24, А, 198216",Исполняющий обязанности директора,Бейнарович Константин Константинович,"Специальные (коррекционные) образовательные учреждения для обучающихся, воспитанников с отклонениями в развитии",Специальная (коррекционная) общеобразовательная школа-интернат,8-812-377-21-29,Кировский,Кировский,"",1027802738413,int002@kirov.spb.ru,http://www.kirov.spb.ru/sc/2,ГС(К)ОУ инт.№2 (IV вида),http://www.kirov.spb.ru/sc/2,Санкт-Петербург г,Трамвайный пр-кт,24,"","",198216,"","","","","","","","","","","","",""
358,Государственное бюджетное общеобразовательное учреждение средняя общеобразовательная школа № 358 Московского района Санкт-Петербурга,ГБОУ СОШ №358,school358spb@mail.ru,"Санкт-Петербург г, Варшавская ул, 40, А, 196128",Директор,Артюхина Елена Александровна,Общеобразовательные учреждения,Средняя общеобразовательная школа,8-812-417-65-59,Московский,Московский,"",1027804892345,school358@mail.ru,http://sch358spb.ru,ГОУ СОШ №358,sch358spb.ru,Санкт-Петербург г,Варшавская ул,40,"","",196128,"","",00000000-0000-0000-0000-000000000000,Городская,7:00-19:00,"",Государственная,Функционирует,"","","","",""
15,Государственное бюджетное общеобразовательное учреждение средняя общеобразовательная школа № 15 Василеостровского района Санкт-Петербурга,ГБОУ СОШ №15,school15spb@yandex.ru,"Санкт-Петербург г, Шевченко ул, 36, А, 199406",Директор,Бухарова Анна Валентиновна,Общеобразовательные учреждения,Средняя общеобразовательная школа,8-812-355-84-20,Василеостровский,Василеостровский,"",1037800017584,"",http://www.school15-spb.ru,"",www.school15-spb.ru,Санкт-Петербург г,Шевченко ул,36,"","",199406,"","",00000000-0000-0000-0000-000000000000,Городская,С 7.00 до 19.00,"","",Функционирует,Нет групп ОВЗ,организация,"","",""
103,Государственное бюджетное общеобразовательное учреждение средняя общеобразовательная школа №103 с углубленным изучением математики Выборгского района Санкт-Петербурга,ГБОУ СОШ №103,103@shko.la,"Санкт-Петербург г, Руднева ул, 23, А, 194292",Директор,Родичева Алла Федоровна,Общеобразовательные учреждения,Средняя общеобразовательная школа с углубленным изучением предмета,8-812-241-33-94,Выборгский,Выборгский,"",1027801583590,103@shko.la,http://sch103.petersburgedu.ru,ГОУ СОШ №103,sch103.petersburgedu.ru,Санкт-Петербург г,Руднева ул,23,"","",194292,Да,ГБОУ СОШ №103,"","","","","","","","","","",""
456,Государственное бюджетное общеобразовательное учреждение средняя общеобразовательная школа № 456 Колпинского района Санкт-Петербурга,ГБОУ СОШ №456,school-456@yandex.ru,"Санкт-Петербург г, Колпино г, Октябрьская ул, 71, А, 2, 196655",Директор,Гришина Людмила Анатольевна,Общеобразовательные учреждения,Средняя общеобразовательная школа,8-812-417-54-62,Колпинский,Колпинский,"",1027808758196,school456@spb.edu.ru,http://456spb.edusite.ru,ГОУ СОШ №456,http://456spb.edusite.ru,"Санкт-Петербург г, Колпино г",Октябрьская ул,71,"",2,196655,"","","","","","","","","","","","",""
576,Государственное бюджетное общеобразовательное учреждение школа-интернат № 576 среднего общего образования с углубленным изучением предмета физическая культура Василеостровского района Санкт-Петербурга,ГБОУ ШИ №576,internat576@yandex.ru,"Санкт-Петербург г, Каховского пер, 2, 199155",Директор,Скарлыгина Наталья Вячеславовна,Общеобразовательные школы-интернаты,Общеобразовательная школа-интернат с углубленным изучением отдельных предметов,8-812-350-78-82,Василеостровский,Василеостровский,"",1047800031355,internat7@spb.edu.ru,http://www.school-internat576.ru/,ГОУ ШИ №576,http://www.school-internat576.ru/,Санкт-Петербург г,Каховского пер,2,"","",199155,Нет,ГБОУ ШИ №576,00000000-0000-0000-0000-000000000000,Городская,С 7.00 до 19.00,"",Государственная,Функционирует,Нет групп ОВЗ,организация,"","",""
609,Государственное бюджетное общеобразовательное учреждение школа №609 Красногвардейского района Санкт-Петербурга,ГБОУ №609,sch-609@yandex.ru,"Санкт-Петербург г, Новочеркасский пр-кт, 44, А, 2, 195213",Директор,Семенова Ольга Петровна,"Специальные (коррекционные) образовательные учреждения для обучающихся, воспитанников с отклонениями в развитии",Специальная (коррекционная) общеобразовательная школа,8-812-417-53-75,Красногвардейский,Красногвардейский,"",1037816029415,gskou-shkola609@rambler.ru,http://www.gskou-shkola609.narod.ru/,ГС(К)ОУ №609,http://www.gskou-shkola609.narod.ru/,Санкт-Петербург г,Новочеркасский пр-кт,44,"",2,195213,"","","","","","","","","","","","",""
2,Государственное бюджетное общеобразовательное учреждение средняя общеобразовательная школа №2 Василеостровского района Санкт-Петербурга,ГБОУ СОШ №2,school002vo@mail.ru,"Санкт-Петербург г, Наличная ул, 32, А, 2, 199226",Директор,Поздняков Егор Владимирович,Общеобразовательные учреждения,Средняя общеобразовательная школа,8-812-356-29-64,Василеостровский,Василеостровский,"",1027800547610,school002@spb.edu.ru,http://sch2vo.ru,ГБОУ СОШ №2,http://sch2vo.ru,Санкт-Петербург г,Наличная ул,32,"",2,199226,"","",00000000-0000-0000-0000-000000000000,Городская,8.00-23.00,11111111111111111111111111111111,Государственная,Функционирует,Нет групп ОВЗ,организация,"","",""
113,Государственное бюджетное общеобразовательное учреждение средняя общеобразовательная школа № 113 с углубленным изучением предметов информационно-технологического профиля Приморского района Санкт-Петербурга,ГБОУ СОШ №113,sch-113@mail.ru,"Санкт-Петербург г, Торжковская ул, 10, А, 2, 197342",Директор,Касавцова Елена Александровна,Общеобразовательные учреждения,Средняя общеобразовательная школа с углубленным изучением предмета,8-812-492-23-34,Приморский,Приморский,"",1027807583187,sch-113@mail.ru,http://school-113.ru,ГОУ СОШ №113,http://school-113.ru,Санкт-Петербург г,Торжковская ул,10,"",2,197342,"","","","","","","","","","","","",""
586,Государственное бюджетное общеобразовательное учреждение гимназия №586 Василеостровского района Санкт-Петербурга,ГБОУ гимназия №586,inf@school586.spb.ru,"Санкт-Петербург г, Кораблестроителей ул, 37, 5, 199397",Директор,Зинченко Елена Валерьевна,Общеобразовательные учреждения,Гимназия,8-812-351-87-63,Василеостровский,Василеостровский,"",1037800017551,school586@spb.edu.ru,http://gymn586.ru,ГОУ гимназия №586,http://gymn586.ru,Санкт-Петербург г,Кораблестроителей ул,37,"",5,199397,"","",00000000-0000-0000-0000-000000000000,Городская,С 7.00 до 19.00,"",Государственная,Функционирует,Нет групп ОВЗ,организация,"","",""
